FirstName,LastName,Date Of Birth,Height (cm), Age
OLMHOBRG,VRIRVFHI,2/4/1940,146.2204787,83
AVSELROI,QVSQHQMO,2/5/1940,155.8343247,83
FTPTHOQE,TJGNEULW,2/6/1940,177.12653,83
YNMGSKKR,JUEHENFB,2/7/1940,147.4076943,83
VCSNKJOH,PORICVCA,2/8/1940,100.8627606,83
LCJOHVVL,TQRLIMEP,2/9/1940,142.1496958,83
AQAAQDRI,JJCTHGUD,2/10/1940,158.7365144,83
HGVSCMRU,DHRMWNQQ,2/11/1940,169.5015704,83
XBDCTYMJ,PKHTAEYF,2/12/1940,162.5674877,83
MPHXVHFP,YNAKMDCK,2/13/1940,112.3425924,83
NNBWOBXR,BQLOQHQT,2/14/1940,106.7125769,83
NWSATJDO,YHMFFJFJ,2/15/1940,185.9591503,83
UFVHSDOC,GIDMUUGO,2/16/1940,157.2225202,83
WUCMXUTC,QSJASJOV,2/17/1940,191.940061,83
WECGXEKM,UIGPXSMT,2/18/1940,104.6626555,83
WIVOEVFC,KIIYFQPF,2/19/1940,123.9695638,83
WYIOUPAV,JPSMUUFR,2/20/1940,193.6020575,83
MBQPGPQW,PNANVOXC,2/21/1940,171.9126178,83
OQCULOFV,YOPBVWLW,2/22/1940,118.7051833,83
GETPCAOY,SIUJRILY,2/23/1940,169.5909825,83
QPOQRPGB,DMDTQSVI,2/24/1940,177.64469,83
OJSAOCQU,IBBFBNXM,2/25/1940,126.2599789,83
YWSFFIFV,NDAARKJW,2/26/1940,194.3499829,83
AVLCTCLL,TWYQIROO,2/27/1940,105.2934055,83
KDBWQHUH,RFWKPFTI,2/28/1940,177.4918031,83
WAGDLRXC,XFKQMKAT,2/29/1940,172.7521284,83
PDQSQTKQ,HPVPHFPY,3/1/1940,118.4394216,83
RHHXKBHR,UIVQBEFB,3/2/1940,192.7313203,83
AGXYYCIT,WRAUYAYT,3/3/1940,176.5524602,83
NLLJNOPV,GAKCMEIT,3/4/1940,199.0589995,83
GHOURJWF,XVPEWPIY,3/5/1940,122.2207683,83
NNWDKTRM,KQIBJWWN,3/6/1940,194.2553626,83
AJGFYQUG,JMYYVGPA,3/7/1940,190.8732221,83
RNEBWOYP,XWICSGIR,3/8/1940,116.0693394,83
YYARKRPU,PBHLHCJU,3/9/1940,143.2972378,83
BHQJCOER,OPUNAIGC,3/10/1940,101.6636201,83
XLTQFQHS,EVEOTNTB,3/11/1940,123.8851329,83
LXRNVJGR,MLPDLPBN,3/12/1940,199.0960808,83
OYERNOFD,VKPXFUKQ,3/13/1940,186.1507814,83
LMVAHVPD,VAMAFSHY,3/14/1940,190.402805,83
PFJFTDPP,ERNPRIEI,3/15/1940,168.5767372,83
NSVEBQXH,MOGTDGQK,3/16/1940,145.6730328,83
TNHMLLVS,JNFDPHPP,3/17/1940,100.0004954,83
UOERETQN,LYLRSJCJ,3/18/1940,106.45386,83
OXSEOHXF,OTYTEEBR,3/19/1940,153.2745936,83
VDIHIBUI,JAOAGJBO,3/20/1940,162.4580093,83
BVVRCSAS,ACEPXWXD,3/21/1940,104.1231107,83
SMIKEDHY,MAYNACQT,3/22/1940,140.6188315,83
AVFTKJJW,KKBKGXMK,3/23/1940,116.6503675,83
YBSFAQXM,BRDEAHQP,3/24/1940,196.7769497,83
NFMKVYKY,TAEKGOQH,3/25/1940,174.2339623,83
VWDCATWL,NBRDEDWY,3/26/1940,160.1458917,83
TVVAAICF,OUPMATTN,3/27/1940,100.8383423,83
PSKUFEEU,CDYKGCMF,3/28/1940,164.9799374,83
GAYJAFVT,PEIQBJDP,3/29/1940,121.2157108,83
WTYPAXHN,KWAVTOKN,3/30/1940,161.5590608,83
DNWQYDNC,GJGVUKKY,3/31/1940,164.6749138,83
BJOQLQVF,JPBRMYWB,4/1/1940,134.628914,83
IPBFDINO,GAYRVRPP,4/2/1940,193.0469921,83
DXYODOGE,NVYMCMIA,4/3/1940,183.0448109,83
QNNPYYOR,HVFKPHPR,4/4/1940,106.3517401,83
RTIYAVXX,UQMADPTI,4/5/1940,100.3519772,83
TNXXHDSV,NKFSBVXO,4/6/1940,171.4555565,83
DHFSPOVW,KHEWYCKA,4/7/1940,178.4798974,83
CYWPHPLU,TRTLLUND,4/8/1940,135.8697923,83
DLAJORED,BCVAENOL,4/9/1940,180.1831286,83
IVDWIPEM,HHENJBVR,4/10/1940,144.5890459,83
CTAEFLIC,OKRYYUJQ,4/11/1940,185.0218927,83
UKAOVTWV,QLVXAPKH,4/12/1940,198.6368303,83
JEMEMRWO,SIMXTSJA,4/13/1940,161.3721249,83
FCLUGSTM,ITPAPFHY,4/14/1940,198.5802378,83
VWDLRXLC,CUTDWJNR,4/15/1940,121.7337398,83
FUJLQYQY,CMCWSWGI,4/16/1940,137.9590758,83
JJTOXSVH,IBHNNWGM,4/17/1940,164.8085554,83
TYMYDIIX,EKQUNQSV,4/18/1940,122.7918721,83
SYFRSHEG,SCUYMHLJ,4/19/1940,171.262919,83
WPMRENCU,XNTPHRKV,4/20/1940,146.1139206,83
RMOPRRKC,BYLISVHV,4/21/1940,106.5947431,83
DAKHUDQQ,VGUCCFUV,4/22/1940,138.5414287,83
IMOKJRON,GMFDTCUS,4/23/1940,188.978225,83
XTDGQQVJ,TKSLIOIA,4/24/1940,105.9973336,83
IWOKKVWP,RWIYXLJN,4/25/1940,141.7258772,83
NTNAMRLC,HCLDGFWY,4/26/1940,163.7051614,83
MLKSKKJY,HVBPSKYK,4/27/1940,130.3569885,83
QBQTMHYR,PAXDJBCA,4/28/1940,139.2641,83
WSSMTCTL,NELFMSYU,4/29/1940,157.4944335,83
WIYBFKXE,UBFPLLPF,4/30/1940,171.0234083,83
XUCJWIHI,GWRJAEDP,5/1/1940,116.1050722,83
VBAPOBQS,GMXPNWUC,5/2/1940,115.730731,83
ANNJVXEN,VOAWHEGM,5/3/1940,127.5364494,83
VQJQXQDI,KQUMYQMN,5/4/1940,120.7119248,83
FOFQPVXK,BCGMBDPF,5/5/1940,124.849606,83
SDARIRLO,XDFHRUUU,5/6/1940,194.2415523,83
IORKUIOT,JDGYJJGI,5/7/1940,102.1870647,83
WOQWQKXT,SVEVDBMT,5/8/1940,121.4939044,83
VJSUDVER,PNODUDWD,5/9/1940,190.1070317,83
DLFOBSBT,GSMBSWPJ,5/10/1940,141.5724649,83
XSFRBPJJ,LTKYXBIW,5/11/1940,146.2419663,83
IMPLVRDO,NDPTVOYR,5/12/1940,180.0872017,83
BPGFMUSJ,EQSVBSQV,5/13/1940,153.9970931,83
OYOMYBJB,WPRVNNIL,5/14/1940,150.8561268,83
QSDYALWJ,SBBDBBGC,5/15/1940,125.9299108,83
VXCTKVVK,GTPPDXXM,5/16/1940,163.8520171,83
OSGJOIJF,COJSUAWV,5/17/1940,149.3713039,83
HOSXLBLJ,EIOTRSGB,5/18/1940,172.7208925,83
CBDYFJQN,NPXXRVBF,5/19/1940,129.3783434,83
EAJDAEWB,YXAPECHB,5/20/1940,150.9286048,83
FHDANKLO,TAESFBYI,5/21/1940,181.8883803,83
BEJXHSGN,WLRDBVKV,5/22/1940,161.4437327,83
KNYBBXVY,JICLBXIR,5/23/1940,167.1785207,83
TKXGGBAW,JVGOBNQH,5/24/1940,183.539333,83
BHIAXBVS,XSYXJQOF,5/25/1940,103.1701653,83
OLCFSNPO,EMACMMNC,5/26/1940,132.5015001,83
LTGGVRPM,EDIGJOTB,5/27/1940,106.5838367,83
OSOLLCQN,EYHKSGXU,5/28/1940,162.0780506,83
FQHEHNLN,YWVHKGEP,5/29/1940,120.1692946,83
EDHWJGXS,BEWOENGN,5/30/1940,178.7967314,83
DWBYMCXC,NLHBSAWM,5/31/1940,169.7592818,83
CBHQHVBB,BXDNIADW,6/1/1940,107.3870003,83
WWBJTYCB,TYVFBIGH,6/2/1940,163.0071253,83
KEOKFKVP,ELOBNJMB,6/3/1940,108.5325294,83
NVTKVWVW,FSPXDBTO,6/4/1940,165.8964435,83
GGNUYVYN,MQQICJAM,6/5/1940,129.9037053,83
IUNHBJEC,FRLVLDUW,6/6/1940,106.6006601,83
XTJUHRRE,SPVDLHAJ,6/7/1940,111.5333524,83
AMGMCBLM,KNTKQVMM,6/8/1940,170.6891812,83
EBYEMDWT,FIPEANGV,6/9/1940,161.9378792,83
HLXDNMSA,LEUWPOVS,6/10/1940,162.0611322,83
CHUPCKCP,LONMRMRV,6/11/1940,180.5982669,83
VYSKLSTP,VMEJKXGQ,6/12/1940,104.4237325,83
CWWRTLNV,EEHVWQVF,6/13/1940,157.9285717,83
DRUBAJQY,FUGAPLKM,6/14/1940,172.8170047,83
XUWSJGMX,NLDKIKAL,6/15/1940,115.705469,83
PMPSLJOE,RARXUOAX,6/16/1940,107.7026979,83
GSWFAGFL,XSEFTJAN,6/17/1940,124.8330494,83
NVOIDBTS,DLWIPWRP,6/18/1940,175.3901749,83
LEPDICQJ,JFSFQVBB,6/19/1940,111.0126651,83
CBNVYYEK,SSFKRWOA,6/20/1940,134.9499979,83
IMAHKRTC,CMBRAACJ,6/21/1940,172.4369203,83
PAJXQFFS,CKIWPAPX,6/22/1940,119.0872148,83
JGRTRNGT,RIPDQSBY,6/23/1940,125.757829,83
HTGOYGCS,TUQVYQIQ,6/24/1940,115.3023699,83
JKCBOSMC,KXTFCIEO,6/25/1940,186.6322045,83
TRPAWWWL,CUMSVBDA,6/26/1940,112.9346246,83
RXYCBSTM,CNXKLGJW,6/27/1940,184.9934643,83
NARKWVMG,EWDNDOTL,6/28/1940,139.5211244,83
KMTBDYGT,VTKSELWJ,6/29/1940,112.8965441,83
LVMRDHKE,DGVVLAMF,6/30/1940,180.7014048,83
CBVUQHBR,RTATOKCO,7/1/1940,129.9272223,83
CYJTRMQA,PLYYGKRK,7/2/1940,153.5097315,83
WBBGPCJU,DNKPDPPE,7/3/1940,125.5052326,83
MWYAEQTP,YEYFKOTT,7/4/1940,194.5243023,83
JVUIJVUK,RHVCJMQT,7/5/1940,110.0130252,83
NPHGVCQM,HHTRCVTE,7/6/1940,133.2044908,83
VLVOXYOU,WSDUIJSL,7/7/1940,199.7812926,83
UOBXJVUC,DIUMQCYX,7/8/1940,192.8000424,83
RSFAAYIG,KQCJSNOM,7/9/1940,105.8767121,83
YUEFSNDM,SXXGNPFW,7/10/1940,117.9035591,83
WYKCPMLJ,IVDELKSP,7/11/1940,199.0453644,83
REHLRKBL,FONHJQWL,7/12/1940,123.825848,83
BDTGXTEX,CQHIWUOH,7/13/1940,107.3701212,83
YKERNTUF,JFRMBEJW,7/14/1940,179.9207431,83
FOTVELST,ALWYTCNP,7/15/1940,127.8236564,83
IFMVWCEU,ORECBYYG,7/16/1940,109.0862555,83
RXUESTSC,FBVROVEL,7/17/1940,103.7352892,83
AIKOVADQ,COETHFVJ,7/18/1940,158.4000451,83
IONGFMTT,LSIYSTAM,7/19/1940,183.0605071,83
QYWQLHEO,NXYDQCOJ,7/20/1940,178.8699193,83
AEYMOHON,HBKUHNON,7/21/1940,172.0649006,83
KMMCRWEP,QXNMRLEA,7/22/1940,122.2903561,83
YBJPRFMQ,VVHFCKUG,7/23/1940,185.4436329,83
PIMFYIDC,HMTTQTPU,7/24/1940,100.4083923,83
KHMMVQXL,WMCUBMJA,7/25/1940,174.4220658,83
FNBWAONL,TGDEURQY,7/26/1940,114.9801527,83
WOYYRHXN,EGDAGBXH,7/27/1940,126.7344655,83
LRWMVQGP,CUDMUVTB,7/28/1940,103.8141124,83
LABEXKWD,JNAQFBLF,7/29/1940,174.9673355,83
TDWMIVPL,ATPAYDNR,7/30/1940,158.8411869,83
DWTDRLMO,FJUYKKRK,7/31/1940,160.901267,83
PKIUJTJV,PXELYKWE,8/1/1940,109.9753691,83
CAYLPWMO,GUYHAOIG,8/2/1940,123.3374452,83
BJVFFVDX,BGUOXXMK,8/3/1940,131.2060979,83
JPSMPMGL,QBQULNCT,8/4/1940,184.893915,83
MGVHIWKW,KVQWKBYL,8/5/1940,170.7301688,83
EMXWIODN,OSJSYGPO,8/6/1940,170.0136863,83
LRGNDYUU,TEWKIWBI,8/7/1940,105.8763007,83
WFYPGAPB,MNXRCKUG,8/8/1940,156.5719679,83
KIBCQUST,HQMCGIEV,8/9/1940,120.765153,83
TRCBGBQB,JOBDIIJT,8/10/1940,185.7006513,83
NHOLQWTN,JVPRNDSQ,8/11/1940,145.3768508,83
BHUIAGGU,WBORPQIT,8/12/1940,113.2277951,83
NQJBUJBO,IVBOGQSH,8/13/1940,124.1109645,83
HROSAFRO,APIJTUOM,8/14/1940,161.7454651,83
QVIIYGTU,HSREXLLX,8/15/1940,128.0506583,83
BMHOLROG,IRWOFLII,8/16/1940,115.1826554,83
AVWPETKU,QXYKXQPL,8/17/1940,182.5017472,83
TKESEYOT,BPILQXDD,8/18/1940,197.7533678,83
MAEWPFGV,FDOAWXXV,8/19/1940,173.7961326,83
NBLGITFW,EOMJFAUX,8/20/1940,145.7970263,83
NTYXDCOQ,LOSJIVOC,8/21/1940,113.0756482,83
IUTHOEKX,EUMELRAL,8/22/1940,144.0056408,83
BVFQXKLY,JKTNFKHO,8/23/1940,132.6198788,83
LIOMMKEV,EEABITBH,8/24/1940,169.0266542,83
JJKDIKCG,JWVGKIFW,8/25/1940,156.7101537,83
HTEGTQXS,ISOLRFRH,8/26/1940,164.4345176,83
RVYRFRMK,LWDWPPHG,8/27/1940,155.407829,83
TLFGXNSH,BWJUSDIK,8/28/1940,135.7101491,83
BGVPHDIX,AFWGCAYP,8/29/1940,159.8074273,83
EUSLBEQB,ACABFRTJ,8/30/1940,162.8461018,83
MCHJDMKR,VGGEYBWC,8/31/1940,154.9200356,83
BXRJKPFD,BNBGLYQL,9/1/1940,161.2855655,83
DTQTFSLI,BKTPSYVH,9/2/1940,114.4754149,83
KJLSKEAG,HYXBTJAA,9/3/1940,194.0235384,83
RDRCTQVF,TDFPYLKM,9/4/1940,188.0089033,83
VYRRDVGG,CABUPNKQ,9/5/1940,164.16846,83
CKMJDKDJ,CUWOGNSA,9/6/1940,155.7797295,83
RNYWOMMX,LUEDYVBK,9/7/1940,150.520977,83
TVWNPRFN,HIVABLMQ,9/8/1940,168.2064771,83
LEILCREU,WXOGQSIP,9/9/1940,119.3801353,83
MPRXIXAY,AGMRHWGM,9/10/1940,181.0920504,83
GYYWDXDV,YQOCXILG,9/11/1940,170.6949367,83
FQFQGNCC,BEJYVYYX,9/12/1940,101.8355788,83
YSJSQMJI,JPNQFGLU,9/13/1940,176.3722007,83
HJSKFFIG,GXDWQAHB,9/14/1940,105.9118845,83
XKWCJKXU,ITDGLYJF,9/15/1940,156.7053849,83
KUMIKXMI,CEANGLRB,9/16/1940,101.6408682,83
AHVXUONL,IFHINEQR,9/17/1940,153.696164,83
SKGKCXNY,TASPGBEH,9/18/1940,171.4376741,83
EEJDGMJC,EYNPYJLU,9/19/1940,192.6328626,83
OJAHNKAE,FUDUEVNM,9/20/1940,116.8684442,83
HJTMCQOH,SIRKKNAV,9/21/1940,153.4681437,83
GGHPALDB,HDRQDYWL,9/22/1940,159.8499014,83
CSJEGJGG,QTVAIMMH,9/23/1940,166.2454249,83
XXINVKRQ,VGKUICSB,9/24/1940,103.4223906,83
YKCSUBXY,YJFWOTYO,9/25/1940,130.055242,83
ASLRGXRW,KGMDIANE,9/26/1940,176.8217404,83
NQGHBGKQ,ABPOKRBL,9/27/1940,145.8026294,83
PYDBKRVI,MTSFDCAS,9/28/1940,127.8381545,83
JOKNCMMI,QMSNRYUA,9/29/1940,177.2488933,83
NYVOFXRG,GJGRISIA,9/30/1940,172.4493892,83
YSIMXGTJ,RBYFRHGQ,10/1/1940,114.0236862,83
SNPEQNBU,SCUFCXHJ,10/2/1940,180.190479,83
MUEMSIDL,JFXJHWSV,10/3/1940,150.457467,83
RFRKBIXL,RDQVLCCL,10/4/1940,150.9568458,83
VPLEFFXA,MJNNKDVB,10/5/1940,138.2315372,83
HWMTURYM,JAUXFBYV,10/6/1940,119.0205406,83
QMXLHEMN,XOLLMWJM,10/7/1940,156.6399678,83
SGHXHGXB,GSEOVJSO,10/8/1940,179.4025762,83
FQSBUXCQ,SOEHGMEY,10/9/1940,179.4369747,83
CNUSNVHP,SMJJLTES,10/10/1940,130.5448397,83
HVWFJHLA,EUUUBPYL,10/11/1940,184.7508675,83
IGAWWPNC,YSIQRORE,10/12/1940,139.0396683,83
QEKFSQDP,LFQYRUWU,10/13/1940,123.0716717,83
SYDNCWME,MDDWKTHE,10/14/1940,183.2124062,83
YSUTPBVU,EGKKQLFC,10/15/1940,189.9252535,83
UJATOGWA,LEFTLWSE,10/16/1940,129.4993571,83
LXMKXPTF,RAAKYUBF,10/17/1940,199.6892742,83
INMTYKAK,XXUHPBEO,10/18/1940,130.4909603,83
KPAHJDUU,TSUYFJEK,10/19/1940,139.6357101,83
AIALJMAG,OSNKIJYQ,10/20/1940,182.6557727,83
QCTFLCJS,EJGRSNUV,10/21/1940,132.6766728,83
RKBPFTHM,FBHSSPYC,10/22/1940,179.1942122,83
XTXTNVSE,PQMQQLBR,10/23/1940,197.7708672,83
OKJMNXXJ,NDSYETPO,10/24/1940,157.6168728,83
MNBTHEJQ,NFCJIAQM,10/25/1940,162.5098029,83
YQGXBTNJ,GXBMWEOQ,10/26/1940,114.8193027,83
EEPJJSSH,LJLYSRJF,10/27/1940,113.9528839,83
OTINNHJS,HXOULBES,10/28/1940,109.7801479,83
LURHKSRG,VHBPHCCF,10/29/1940,193.4570445,83
WJNNPERY,IJEVXHIM,10/30/1940,166.310911,83
JRGPARYT,XQSDYHUH,10/31/1940,184.097514,83
YWANLALN,ADXKYXEJ,11/1/1940,190.5532677,83
DXEPSERY,DTVTGADW,11/2/1940,157.4944138,83
MLWTMUYA,RMDAFUAR,11/3/1940,147.2530991,83
UASPHVVN,CPBTFVYH,11/4/1940,129.7613764,83
WHKPCEWG,JBVUVWHP,11/5/1940,199.909709,83
QELUCMXQ,UMFEDWOV,11/6/1940,142.1626828,83
REVKCSFS,UNUHVSTR,11/7/1940,190.524775,83
IQRRCUHY,BOOUYUXO,11/8/1940,144.994213,83
OJWAIAYE,WOQRNXMA,11/9/1940,184.4531383,83
SSPGBQHJ,EEQPGRBN,11/10/1940,174.9663395,83
CPQOKOMA,JEGFJMSL,11/11/1940,155.2061738,83
GYWADMRX,OWHHTGAN,11/12/1940,129.8363725,83
GFRUWGOK,XDEGXRNG,11/13/1940,144.9992665,83
NJQNAOBV,UCFDUEHG,11/14/1940,143.9798833,83
QWERHTYP,MKYJMFVR,11/15/1940,182.6048969,83
JASTSFLU,OMDTIBFR,11/16/1940,176.1787126,83
STQGTHQD,GTDFQHQX,11/17/1940,188.6181419,83
RTQHMAUQ,PPWRPWFA,11/18/1940,128.1211788,83
OMIDRJAK,DFCVVRJJ,11/19/1940,155.488197,83
VQEDHAJL,HBVJOPIE,11/20/1940,153.5469978,83
OXJSDRUY,FCTWBQCU,11/21/1940,114.1056208,83
HKXLWMWT,XKQRQEGH,11/22/1940,113.7740141,83
TEVJNQOK,OWIIKJPC,11/23/1940,166.9779394,83
DVUNNWGE,FCBCRFXB,11/24/1940,179.4157707,83
HNKLIJJU,OVEDFQLD,11/25/1940,184.495508,83
PMYKBOGF,EFKYYXFF,11/26/1940,133.9666923,83
KXFJCYMU,IFXMIQRO,11/27/1940,173.5187452,83
NUGUOSWP,ICKXANLL,11/28/1940,141.7715194,83
ITTAYEMB,OBQQOCEH,11/29/1940,180.6087996,83
ISPRUKJU,JFUOAUPY,11/30/1940,121.6961113,83
EGGCKCRA,UHQVLSYL,12/1/1940,196.0852589,83
GJJKGRFU,XLGSSJNB,12/2/1940,162.3682024,83
PMWHOKQI,YWSPYTXM,12/3/1940,140.1821216,83
ADHROTCR,WJCGSFSL,12/4/1940,124.8192871,83
AIAAJBDF,YXLRGSIE,12/5/1940,113.7882227,83
TVGIWGGU,QKNOCUWF,12/6/1940,180.7746527,83
QXFUEOXG,YSYDMHWX,12/7/1940,164.5136943,83
PBUXEHXF,JQYHQBBT,12/8/1940,135.9275467,83
MVYSNRSC,OBXBPPEI,12/9/1940,107.1257695,83
AAVCXFMN,BSPXBYBD,12/10/1940,140.6801512,83
JUCGGEKB,GVCBNYHI,12/11/1940,163.0878695,83
EIODBWEH,GYSFXPFR,12/12/1940,174.6462269,83
VMTWAACI,SPOUVEHW,12/13/1940,112.9050815,83
VJYAPNRU,JAPEATTM,12/14/1940,146.061584,83
JCDOWPRO,HQNJNRHV,12/15/1940,197.7893323,83
BAYAMEBF,JPUQWYPY,12/16/1940,191.9530973,83
FPORHSOF,JYSTUUXE,12/17/1940,197.3293149,83
DTJVRVOH,XBDNNAFK,12/18/1940,132.7587018,83
LJBNQHGR,VFRBTMVC,12/19/1940,159.9473094,83
XWWVUXAJ,XEYHXLXH,12/20/1940,114.1619807,83
HXHNSMCX,MFKOFYBO,12/21/1940,156.703108,83
UAIIUNJW,IIQLHJVX,12/22/1940,112.0573578,83
GRUDFLLX,DCWAGGDX,12/23/1940,105.518543,83
ONYELIKN,YQOSSDBI,12/24/1940,188.4985225,83
MYQHTJWF,HIGYSCFB,12/25/1940,128.2025285,83
YRSYACDF,OXLXSHOM,12/26/1940,138.3077304,83
SUBVBLER,YXSLLNIA,12/27/1940,187.6776525,83
CANCIEOB,OJTQHWUM,12/28/1940,172.4925576,83
XSYRSFPG,AAXHSUVW,12/29/1940,139.2252863,83
VEJQXFSV,GYQKAUEL,12/30/1940,145.0750852,83
FNJGMHRD,YWIGPOPQ,12/31/1940,147.0321273,83
RIPUSBKM,GJXSWQMD,1/1/1941,117.0455591,82
AUFGFWNR,FUJEPRCD,1/2/1941,107.5159203,82
YTWBKXNG,JYEDITOG,1/3/1941,104.5210076,82
LLAWYJQU,SARPUUCK,1/4/1941,109.5089708,82
CJMBLOAD,UJDSOWHC,1/5/1941,181.5776385,82
OQCYQKBX,OMTSQAKH,1/6/1941,144.0021568,82
EHUVTOAC,PPBXSOPL,1/7/1941,181.9740851,82
UOBCABJD,JPEGIWKX,1/8/1941,154.1442432,82
SOYADFXL,HOYYFOTQ,1/9/1941,141.4269555,82
LLCUGPAA,DDSWYWGI,1/10/1941,151.4151828,82
VMVSDCHT,NITJBYBD,1/11/1941,108.7461893,82
RFLAOLVC,QSQLXPIK,1/12/1941,105.2285745,82
QMNBCAWW,AIBVVTYD,1/13/1941,199.7983685,82
MXSKWVSB,CUPHUBSG,1/14/1941,191.0804536,82
LAXFAYNQ,YOJBBVGC,1/15/1941,184.5934137,82
JKTJVGMO,WDHRCXNE,1/16/1941,136.2663054,82
AOTNENRT,BAXHSKFE,1/17/1941,185.2415256,82
LTHYVEUR,GVYLUNWX,1/18/1941,124.5516366,82
WTKBNYSF,OIWMTGIT,1/19/1941,153.5961436,82
PCIPKYRY,IMYAVUHL,1/20/1941,138.6165758,82
XMMLYEEX,OAYBFFLY,1/21/1941,142.2099746,82
XUHFUYAK,PKBEFEOX,1/22/1941,193.063984,82
DDGNXYSD,HKKEKHWJ,1/23/1941,190.5739668,82
UBGFFTAA,GQOTWNVU,1/24/1941,175.6481085,82
TGKEYKCE,NBXLGMRS,1/25/1941,168.6151698,82
DFTKCAJF,GVSDRNXB,1/26/1941,185.9193819,82
JCQVJAOH,ESQPAXAH,1/27/1941,104.9111579,82
NKJHILYF,RCONXACH,1/28/1941,183.2759835,82
OWCVTOUW,DHMOLRCE,1/29/1941,181.7659458,82
LCJKBKTC,AKEEQLYL,1/30/1941,184.541729,82
YMQGYNKK,GPRUGBDM,1/31/1941,187.1540141,82
QUDIHHMC,ETOVYVDY,2/1/1941,155.8181276,82
GGQBIROF,IVJXQRQE,2/2/1941,156.1199891,82
NHLRJYJM,DVJDCFYP,2/3/1941,131.9420207,82
GKINDUPV,SAFWJXSI,2/4/1941,199.4863751,82
TILGMYIG,ETCRYOKB,2/5/1941,101.731502,82
QMNAQOST,RERIOVDR,2/6/1941,104.8577783,82
QYRFDYRT,GVIBCORX,2/7/1941,145.0593018,82
YYAXADKF,TPNIHXYT,2/8/1941,105.5840276,82
AVMPVOCW,JRRMTUDQ,2/9/1941,111.5535844,82
MSKOQMWB,YQMVFYDH,2/10/1941,103.3007899,82
VVGPNICU,RJDXPAKG,2/11/1941,197.6366828,82
KUWLKENT,FNENIGVX,2/12/1941,104.5969122,82
LTCGKIFV,XRQKVYQS,2/13/1941,191.1299575,82
TVVBRBLK,UXQQHSKL,2/14/1941,112.4979339,82
BGOYIAEI,KRRXUULJ,2/15/1941,183.8989,82
VQCJWMAU,YDFWXGDM,2/16/1941,169.8760562,82
USDPVJPX,LIBCTMVR,2/17/1941,115.1608237,82
CUMCXRIK,KDDTNLXO,2/18/1941,189.9563848,82
KLWKIKVL,RDHHAGQS,2/19/1941,101.7475035,82
QXGKPQFR,ASPFAHUW,2/20/1941,172.2825426,82
ARLGVAJM,CDDHWOLO,2/21/1941,167.0543369,82
HMFQVXXU,NBOGYVYB,2/22/1941,148.5012434,82
PHWTCNGO,DIGMCGDV,2/23/1941,136.8932507,82
GSFESHWP,KNJJKSRU,2/24/1941,158.050121,82
GTKULNWP,JHBVSCGQ,2/25/1941,189.1258744,82
KJDQBMYG,NCAJLEVS,2/26/1941,117.0853892,82
TINGEFIW,HOGBKSPS,2/27/1941,113.5246547,82
IKEQUAFH,BLTAGFTC,2/28/1941,109.6120131,82
DVHEMEKR,FYAMXMGN,3/1/1941,120.0209256,82
HFVQKYOD,WDXBNJCT,3/2/1941,191.281699,82
